DisplayName;Department;BusinessRole;AccountType;LastLogon;Ruoli;Username;Email;UPN;EmployeeId;Manager;StatusAD;StatusHR;OrphanGroups
chiara.russo;Workplace IT;Workplace Specialist;Internal;2025-04-10T10:42:55Z;INF_BACKUP_VIEW,INF_FILESHARE_VIEW,INF_MAIL_READ,INF_MDM_VIEW,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_READ,SYS_SERVICENOW_READ;;;;;;;;
svc_pmo_pmo;PMO;PMO Analyst;Technical;2025-12-09T13:12:55Z;INF_BACKUP_READ,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_WRITE,SYS_POWERBI_VIEW;;;;;;;;
andrea.romano;R&D AI;AI Researcher;Internal;2025-12-22T16:43:55Z;INF_BACKUP_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_GCP_WRITE,SYS_JIRA_WRITE,SYS_SNOWFLAKE_WRITE;;;;;;;;
andrea.romano.qrco;R&D Innovation;Innovation Engineer;Internal;2025-08-26T08:11:55Z;INF_BACKUP_ADMIN,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ;;;;;;;;
sara.marino;Support L1;Support Agent L1;Internal;2025-04-10T10:09:55Z;INF_BACKUP_ALL,INF_MAIL_READ,INF_MAIL_VIEW,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_SERVICENOW_WRITE,SYS_ZENDESK_WRITE;;;;;;;;
sara.marino.wxsz;Support L2;Support Agent L2;Internal;2025-08-13T15:27:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_SERVICENOW_READ,SYS_SPLUNK_READ,SYS_ZENDESK_WRITE;;;;;;;;
matteo.gallo;Customer Success Enterprise;CSM Enterprise;Internal;2025-06-25T16:46:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_SALESFORCE_READ,SYS_ZENDESK_READ;;;;;;;;
matteo.gallo.baiv;Customer Success SMB;CSM SMB;Internal;2025-08-31T13:20:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SALESFORCE_READ,SYS_ZENDESK_VIEW;;;;;;;;
svc_sales_enterprise;Sales Enterprise;Sales Executive;External;2025-12-22T16:07:55Z;INF_CRM_READ,INF_MAIL_READ,INF_VPN_ALL,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_READ,SYS_SALESFORCE_VIEW;;;;;;;;
valentina.giordano;Sales SMB;Sales Representative;Internal;2025-11-20T14:37:55Z;INF_CRM_VIEW,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SALESFORCE_VIEW;;;;;;;;
adm_stefano.lombardi;Marketing Digital;Digital Marketer;Internal;2025-09-25T09:05:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_POWERBI_VIEW,SYS_SALESFORCE_READ;;;;;;;;
stefano.lombardi;Marketing Content;Content Specialist;Internal;2026-01-04T10:03:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_JIRA_READ;;;;;;;;
irene.fontana;Finance Controlling;Controller;Internal;2025-10-04T07:45:55Z;INF_ERP_READ,INF_FILESHARE_VIEW,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_WRITE,SYS_SAP_VIEW;;;;;;;;
irene.fontana.vbhi;Finance AP;AP Specialist;Internal;2025-11-05T09:24:55Z;INF_ERP_VIEW,INF_FILESHARE_READ,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_VIEW;;;;;;;;
adm_giorgio.rossi;Finance AR;AR Specialist;Internal;2025-10-21T14:28:55Z;INF_ERP_READ,INF_FILESHARE_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_VIEW;;;;;;;;
giorgio.rossi;HR Talent;Talent Partner;Internal;2025-10-31T14:59:55Z;INF_FILESHARE_READ,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_WORKDAY_READ;;;;;;;;
federica.russo;HR Payroll;Payroll Specialist;Internal;2025-12-13T07:49:55Z;INF_FILESHARE_VIEW,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_VIEW,SYS_WORKDAY_VIEW;;;;;;;;
federica.russo.rpyp;Legal Compliance;Compliance Analyst;Internal;2025-12-14T09:01:55Z;INF_FILESHARE_VIEW,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SERVICENOW_VIEW;;;;;;;;
simone.romano;Procurement;Procurement Specialist;Internal;2025-03-30T09:53:55Z;INF_ERP_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_VIEW,SYS_SERVICENOW_VIEW;;;;;;;;
simone.romano.pkfk;Executive Office;Executive Assistant;Internal;2025-12-27T11:35:55Z;INF_FILESHARE_VIEW,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_POWERBI_READ;;;;;;;;
laura.marino;Internal Audit;Internal Auditor;Internal;2025-12-15T09:40:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_READ,SYS_SAP_WRITE,SYS_SPLUNK_VIEW;;;;;;;;
laura.marino.ogrr;Business Applications;Business Apps Analyst;Internal;2025-09-11T14:24:55Z;INF_MAIL_READ,INF_VPN_ALL,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_VIEW,SYS_SALESFORCE_VIEW,SYS_SAP_WRITE,SYS_SERVICENOW_VIEW,SYS_WORKDAY_WRITE;;;;;;;;
antonio.gallo;Engineering Backend;Backend Engineer;Internal;2025-04-20T10:49:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_AWS_WRITE,SYS_CONFLUENCE_READ,SYS_GITLAB_READ,SYS_JENKINS_WRITE,SYS_JIRA_READ,SYS_K8S_READ;;;;;;;;
antonio.gallo.wlkg;Engineering Frontend;Frontend Engineer;Internal;2025-12-11T15:30:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_AWS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JENKINS_VIEW,SYS_JIRA_WRITE;;;;;;;;
silvia.giordano;Engineering Mobile;Mobile Engineer;Internal;2025-08-13T15:27:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_GITHUB_VIEW,SYS_JENKINS_WRITE,SYS_JIRA_READ;;;;;;;;
silvia.giordano.drrb;Engineering QA;QA Engineer;Internal;2025-08-03T15:08:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JENKINS_WRITE,SYS_JIRA_WRITE,SYS_K8S_WRITE;;;;;;;;
adm_roberto.lombardi;Platform SRE;SRE Engineer;Technical;2026-02-01T07:30:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_ARGOCD_WRITE,SYS_AWS_READ,SYS_AZURE_WRITE,SYS_CONFLUENCE_READ,SYS_DATADOG_READ,SYS_GCP_WRITE,SYS_K8S_WRITE;;;;;;;;
roberto.lombardi;Platform DevOps;DevOps Engineer;Internal;2025-04-11T11:45:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_ARGOCD_READ,SYS_AWS_ALL,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GCP_READ,SYS_JENKINS_WRITE,SYS_K8S_WRITE;;;;;;;;
anna.fontana;Cloud Infrastructure;Cloud Engineer;Internal;2025-07-27T08:59:55Z;INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_AWS_WRITE,SYS_AZURE_WRITE,SYS_CONFLUENCE_READ,SYS_DATADOG_VIEW,SYS_GCP_WRITE,SYS_K8S_WRITE;;;;;;;;
svc_network_network;Network Operations;Network Engineer;Internal;2025-08-06T08:57:55Z;INF_BASTION_VIEW,INF_DNS_VIEW,INF_FIREWALL_WRITE,INF_MAIL_READ,INF_NETWORK_READ,INF_SIEM_VIEW,INF_VPN_READ,SYS_CONFLUENCE_READ;;;;;;;;
luca.rossi.sgvj;Security SOC;SOC Analyst;Internal;2023-06-12T11:46:55Z;INF_EDR_VIEW,INF_FIREWALL_WRITE,INF_IAM_WRITE,INF_MAIL_READ,INF_SIEM_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_WRITE,SYS_SPLUNK_VIEW;;;;;;;;
luca.rossi.kwzd;Security GRC;GRC Specialist;Technical;2025-11-30T14:32:55Z;INF_MAIL_READ,INF_SIEM_WRITE,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_SERVICENOW_VIEW,SYS_SPLUNK_VIEW;;;;;;;;
marco.russo.escs;Security IAM;IAM Specialist;Internal;2025-10-27T10:38:55Z;INF_IAM_READ,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_READ,SYS_SERVICENOW_READ;;;;;;;;
adm_marco.russo;Data Engineering;Data Engineer;Internal;2026-01-11T16:30:55Z;INF_DBAAS_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_CONFLUENCE_READ,SYS_GCP_READ,SYS_POWERBI_VIEW,SYS_SNOWFLAKE_READ;;;;;;;;
giulia.romano.uqbo;Data Science;Data Scientist;Internal;2026-01-13T08:34:55Z;INF_MAIL_READ,INF_VPN_ALL,INF_VPN_READ,SYS_AWS_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_GCP_READ,SYS_JIRA_WRITE,SYS_POWERBI_READ,SYS_SNOWFLAKE_READ;;;;;;;;
giulia.romano.qbvw;Analytics BI;BI Analyst;Internal;2025-04-07T07:21:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_READ,SYS_SAP_READ,SYS_SNOWFLAKE_READ;;;;;;;;
francesca.marino.rfgz;Product Management;Product Manager;Internal;2026-01-13T08:28:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_WRITE,SYS_POWERBI_VIEW;;;;;;;;
francesca.marino.wkyj;Product Design;Product Designer;Internal;2025-03-23T12:55:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_JIRA_VIEW;;;;;;;;
alessandro.gallo.qfoe;IT Helpdesk;IT Support;Internal;2025-12-13T07:58:55Z;INF_FILESHARE_READ,INF_MAIL_READ,INF_MDM_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_WRITE,SYS_SERVICENOW_READ;;;;;;;;
alessandro.gallo.bins;IT Operations;IT Ops Specialist;Technical;2025-12-26T10:29:55Z;INF_EDR_WRITE,INF_FILESHARE_VIEW,INF_MAIL_READ,INF_MAIL_WRITE,INF_MDM_READ,INF_VPN_READ,INF_VPN_WRITE,SYS_CONFLUENCE_READ,SYS_SERVICENOW_READ;;;;;;;;
adm_marta.giordano;Workplace IT;Workplace Specialist;Internal;2026-02-02T08:33:55Z;INF_FILESHARE_VIEW,INF_MAIL_READ,INF_MAIL_WRITE,INF_MDM_WRITE,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_READ,SYS_SERVICENOW_WRITE;;;;;;;;
marta.giordano.dcsx;PMO;PMO Analyst;Internal;2025-08-11T13:33:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_VIEW,SYS_POWERBI_READ;;;;;;;;
davide.lombardi.qpnp;R&D AI;AI Researcher;Internal;2025-04-24T14:13:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_AWS_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_GCP_WRITE,SYS_JIRA_VIEW,SYS_SNOWFLAKE_WRITE;;;;;;;;
davide.lombardi.rdsq;R&D Innovation;Innovation Engineer;Technical;2025-07-23T14:22:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_WRITE;;;;;;;;
elisa.fontana.oyil;Support L1;Support Agent L1;External;2025-03-21T10:07:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SERVICENOW_READ,SYS_ZENDESK_VIEW;;;;;;;;
elisa.fontana.rbkv;Support L2;Support Agent L2;Internal;2026-01-26T11:23:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_SERVICENOW_VIEW,SYS_SPLUNK_VIEW,SYS_ZENDESK_WRITE;;;;;;;;
adm_paolo.rossi.heoq;Customer Success Enterprise;CSM Enterprise;Internal;2025-04-12T13:00:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_SALESFORCE_WRITE,SYS_ZENDESK_VIEW;;;;;;;;
paolo.rossi.omgy;Customer Success SMB;CSM SMB;Internal;2025-09-08T11:54:55Z;INF_MAIL_READ,INF_VPN_ALL,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SALESFORCE_WRITE,SYS_ZENDESK_READ;;;;;;;;
chiara.russo.vrzx;Sales Enterprise;Sales Executive;Internal;2025-05-15T16:00:55Z;INF_CRM_READ,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_WRITE,SYS_SALESFORCE_VIEW;;;;;;;;
chiara.russo.ydaj;Sales SMB;Sales Representative;Internal;2025-06-19T10:16:55Z;INF_CRM_VIEW,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SALESFORCE_WRITE;;;;;;;;
andrea.romano.ahrc;Marketing Digital;Digital Marketer;Technical;2025-07-09T10:09:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_POWERBI_VIEW,SYS_SALESFORCE_VIEW;;;;;;;;
andrea.romano.oxwc;Marketing Content;Content Specialist;Internal;2025-12-16T10:43:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_JIRA_WRITE;;;;;;;;
adm_sara.marino;Finance Controlling;Controller;Internal;2025-08-31T13:26:55Z;INF_ERP_VIEW,INF_FILESHARE_VIEW,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_READ,SYS_SAP_WRITE;;;;;;;;
sara.marino.ingd;Finance AP;AP Specialist;Internal;2025-05-31T11:11:55Z;INF_ERP_VIEW,INF_FILESHARE_READ,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_WRITE;;;;;;;;
adm_matteo.gallo;Finance AR;AR Specialist;Internal;2025-06-11T12:45:55Z;INF_ERP_READ,INF_FILESHARE_READ,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_READ;;;;;;;;
matteo.gallo.qhxf;HR Talent;Talent Partner;Internal;2026-02-03T10:06:55Z;INF_FILESHARE_READ,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_WORKDAY_READ;;;;;;;;
svc_hr_payroll;HR Payroll;Payroll Specialist;Internal;2025-03-21T10:37:55Z;INF_FILESHARE_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_VIEW,SYS_WORKDAY_WRITE;;;;;;;;
adm_valentina.giordano;Legal Compliance;Compliance Analyst;Internal;2025-05-25T15:22:55Z;INF_FILESHARE_READ,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_SERVICENOW_WRITE;;;;;;;;
adm_stefano.lombardi.igvj;Procurement;Procurement Specialist;Internal;2025-04-20T10:16:55Z;INF_ERP_VIEW,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_VIEW,SYS_SERVICENOW_READ;;;;;;;;
stefano.lombardi.vgpo;Executive Office;Executive Assistant;Internal;2025-09-11T14:39:55Z;INF_FILESHARE_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_READ;;;;;;;;
irene.fontana.bfqj;Internal Audit;Internal Auditor;Internal;2026-02-01T08:00:55Z;INF_MAIL_READ,INF_VPN_ALL,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_POWERBI_VIEW,SYS_SAP_READ,SYS_SPLUNK_WRITE;;;;;;;;
irene.fontana.visa;Business Applications;Business Apps Analyst;Internal;2025-06-13T14:36:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_VIEW,SYS_SALESFORCE_READ,SYS_SAP_READ,SYS_SERVICENOW_VIEW,SYS_WORKDAY_VIEW;;;;;;;;
giorgio.rossi.xykd;Engineering Backend;Backend Engineer;Internal;2026-02-02T08:09:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_GITLAB_READ,SYS_JENKINS_READ,SYS_JIRA_WRITE,SYS_K8S_WRITE;;;;;;;;
giorgio.rossi.suil;Engineering Frontend;Frontend Engineer;Internal;2025-06-20T11:34:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_AWS_ALL,SYS_AWS_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JENKINS_WRITE,SYS_JIRA_READ;;;;;;;;
federica.russo.jatf;Engineering Mobile;Mobile Engineer;Internal;2025-06-15T16:45:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_AWS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JENKINS_VIEW,SYS_JIRA_VIEW;;;;;;;;
federica.russo.dtfw;Engineering QA;QA Engineer;Technical;2025-06-25T16:43:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JENKINS_WRITE,SYS_JIRA_VIEW,SYS_K8S_WRITE;;;;;;;;
adm_simone.romano;Platform SRE;SRE Engineer;Internal;2025-05-08T08:27:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_ARGOCD_VIEW,SYS_AWS_READ,SYS_AZURE_WRITE,SYS_CONFLUENCE_READ,SYS_DATADOG_WRITE,SYS_GCP_READ,SYS_K8S_WRITE;;;;;;;;
simone.romano.lqhe;Platform DevOps;DevOps Engineer;Internal;2025-08-21T13:25:55Z;INF_MAIL_READ,INF_VPN_READ,SYS_ARGOCD_READ,SYS_AWS_READ,SYS_AZURE_WRITE,SYS_CONFLUENCE_READ,SYS_GCP_WRITE,SYS_JENKINS_VIEW,SYS_K8S_READ;;;;;;;;
laura.marino.qdbz;Cloud Infrastructure;Cloud Engineer;External;2025-08-18T10:55:55Z;INF_MAIL_READ,INF_SECRETS_VIEW,INF_VPN_READ,SYS_AWS_VIEW,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_DATADOG_VIEW,SYS_GCP_READ,SYS_K8S_READ;;;;;;;;
svc_network;Network Operations;Network Engineer;Internal;2025-10-25T08:53:55Z;INF_BASTION_VIEW,INF_DNS_READ,INF_FIREWALL_READ,INF_MAIL_READ,INF_NETWORK_READ,INF_SIEM_VIEW,INF_VPN_READ,SYS_CONFLUENCE_READ;;;;;;;;
adm_antonio.gallo;Security SOC;SOC Analyst;Internal;2025-11-29T13:35:55Z;INF_EDR_WRITE,INF_FIREWALL_READ,INF_IAM_READ,INF_MAIL_READ,INF_SIEM_WRITE,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_WRITE,SYS_SPLUNK_READ;;;;;;;;
antonio.gallo.yyrh;Security GRC;GRC Specialist;Internal;2026-01-10T15:48:55Z;INF_MAIL_READ,INF_SIEM_VIEW,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SERVICENOW_READ,SYS_SPLUNK_VIEW;;;;;;;;
svc_security_iam;Security IAM;IAM Specialist;External;2025-07-06T07:21:55Z;INF_IAM_READ,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_READ,SYS_SERVICENOW_READ;;;;;;;;
silvia.giordano.zxex;Data Engineering;Data Engineer;External;2025-07-10T11:36:55Z;INF_DBAAS_READ,INF_MAIL_READ,INF_VPN_ALL,INF_VPN_READ,SYS_AWS_READ,SYS_CONFLUENCE_READ,SYS_GCP_VIEW,SYS_POWERBI_VIEW,SYS_SNOWFLAKE_READ;;;;;;;;
