DisplayName;Username;Department;BusinessRole;Roles;AccountType;LastLogin;Email;Manager
Marco Colombo;marco.colombo;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-11T16:58:25Z;marco.colombo@bip.internal;Micol Marani
Marco Longo;marco.longo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-08-28T09:10:25Z;marco.longo@bip.internal;Salvatore Apicella
Marco Mancini;marco.mancini;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2026-02-02T10:24:25Z;marco.mancini@bip.internal;Stefano Maffei
Marco Ferrari;marco.ferrari;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;External;2025-09-19T08:15:25Z;marco.ferrari@bip.internal;Gianluca Leone
Marco Martinelli;marco.martinelli;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-12-16T04:53:25Z;marco.martinelli@bip.internal;Micol Marani
Marco Vitale;marco.vitale;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-16T01:02:25Z;marco.vitale@bip.internal;Salvatore Apicella
Marco Caruso;marco.caruso;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2026-01-20T00:52:25Z;marco.caruso@bip.internal;Stefano Maffei
Marco Serra;marco.serra;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-04T13:59:25Z;marco.serra@bip.internal;Gianluca Leone
Marco Palumbo;marco.palumbo;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-07T12:41:25Z;marco.palumbo@bip.internal;Micol Marani
Marco Sanna;marco.sanna;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-05T09:38:25Z;marco.sanna@bip.internal;Salvatore Apicella
Marco Neri;marco.neri;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-25T22:02:25Z;marco.neri@bip.internal;Stefano Maffei
Marco Ferrara;marco.ferrara;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-13T06:00:25Z;marco.ferrara@bip.internal;Gianluca Leone
Marco De Luca;marco.de.luca;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;External;2026-01-04T05:50:25Z;marco.de.luca@bip.internal;Micol Marani
Marco Moretti;marco.moretti;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-22T02:29:25Z;marco.moretti@bip.internal;Salvatore Apicella
Marco Parisi;marco.parisi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-09-08T06:10:25Z;marco.parisi@bip.internal;Stefano Maffei
Marco Giordano;marco.giordano;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-30T18:25:25Z;marco.giordano@bip.internal;Gianluca Leone
Marco Pellegrini;marco.pellegrini;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2026-01-08T04:59:25Z;marco.pellegrini@bip.internal;Micol Marani
Luca Rossi;luca.rossi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-06T22:10:25Z;luca.rossi@bip.internal;Salvatore Apicella
